enterprise_id,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule
E414,1,0.06666666667,0,0.0001679244138,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E415,1,0.06666666667,0,0.0175100672,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E416,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E417,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E418,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E419,2,0.1333333333,0,20.26117994,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E420,1,0.06666666667,0,1.549250931,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E421,1,0.06666666667,0,0.005636042769,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E422,1,0.06666666667,0,1.628369138e-05,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E423,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E424,1,0.06666666667,0,0.3063092507,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E425,1,0.06666666667,0,0.02730452726,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
